NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
X68486         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0007399: neurogenesis;GO:0007267: cell-cell signaling;GO:0006915: apoptosis;   GO:0006955: immune response;GO:0006915: apoptosis;GO:0007166: cell surface receptor linked signal transduction;GO:0007399: neurogenesis;GO:0007582: physiological processes;
X68487         GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0007242: intracellular signaling cascade;
X72304         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;
X72755         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
X74301         GO:0006955: immune response;                                               GO:0006955: immune response;
X75962         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
X78686         GO:0006955: immune response;GO:0006928: cell motility;GO:0007267: cell-cell signaling;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
X81851         GO:0006955: immune response;GO:0006928: cell motility;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006928: cell motility;
X82200         GO:0006955: immune response;                                               GO:0006955: immune response;
X85740         GO:0006955: immune response;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007602: phototransduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006928: cell motility;GO:0007601: vision;
X87212         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0006955: immune response;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X87767         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006259: DNA metabolism;
X92744         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
X94232         GO:0006955: immune response;GO:0008283: cell proliferation;                GO:0006955: immune response;GO:0008283: cell proliferation;
Y11215         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006508: proteolysis and peptidolysis;GO:0005975: carbohydrate metabolism;
Z17227         GO:0006955: immune response;                                               GO:0006955: immune response;
Z71389         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;   GO:0006955: immune response;GO:0006928: cell motility;
D87683         GO:0000074: cell cycle control;GO:0007242: intracellular signaling cascade;GO:0007155: cell adhesion;   GO:0000074: cell cycle control;GO:0007155: cell adhesion;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;
U35139         GO:0000074: cell cycle control;GO:0007399: neurogenesis;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0007399: neurogenesis;
U00001         GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;
L23959         GO:0000074: cell cycle control;GO:0006366: transcription from Pol II promoter;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007399: neurogenesis;
U38846         GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;   GO:0000074: cell cycle control;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
U01038         GO:0000074: cell cycle control;GO:0007048: oncogenesis;GO:0000278: mitotic cell cycle;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;GO:0007048: oncogenesis;
U92436         GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;GO:0000278: mitotic cell cycle;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;
M24902         GO:0000074: cell cycle control;                                            GO:0000074: cell cycle control;GO:0006915: apoptosis;GO:0007155: cell adhesion;
M62424         GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;GO:0007242: intracellular signaling cascade;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0006915: apoptosis;GO:0006468: protein phosphorylation;   GO:0000074: cell cycle control;GO:0006468: protein phosphorylation;GO:0006915: apoptosis;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;
V00574         GO:0000074: cell cycle control;GO:0006928: cell motility;GO:0007166: cell surface receptor linked signal transduction;   GO:0000074: cell cycle control;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;
U39657         GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;GO:0006468: protein phosphorylation;   GO:0000074: cell cycle control;GO:0006468: protein phosphorylation;GO:0006928: cell motility;
D64110         GO:0000074: cell cycle control;GO:0008283: cell proliferation;             GO:0000074: cell cycle control;GO:0008283: cell proliferation;
U40343         GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;
L25876         GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;
M26708         GO:0000074: cell cycle control;                                            GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;
U40705         GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;             GO:0000074: cell cycle control;GO:0007267: cell-cell signaling;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
D13639         GO:0000074: cell cycle control;                                            GO:0000074: cell cycle control;
L14812         GO:0000074: cell cycle control;                                            GO:0000074: cell cycle control;GO:0007267: cell-cell signaling;
X02751         GO:0000074: cell cycle control;GO:0007048: oncogenesis;                    GO:0000074: cell cycle control;GO:0007048: oncogenesis;
U43077         GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;             GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;
AF015913       GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;GO:0008283: cell proliferation;   GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0000278: mitotic cell cycle;
J00277         GO:0000074: cell cycle control;GO:0006928: cell motility;GO:0007166: cell surface receptor linked signal transduction;   GO:0000074: cell cycle control;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0006091: energy pathways;
U05340         GO:0000074: cell cycle control;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0000074: cell cycle control;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
